,SDT_YY,SDT_MM,SDT_DD,SDT_DY,ARP,ODP,FLO,FLT,AOD,STT,DLY,DLY_RATE
0,2019,9,16,월,ARP1,ARP3,L,L1702,A,9:05,0,0.03450653
1,2019,9,16,월,ARP3,ARP1,L,L1702,D,7:55,0,0.014649302
2,2019,9,16,월,ARP1,ARP3,L,L1720,A,14:40,1,0.21202856
3,2019,9,16,월,ARP3,ARP1,L,L1720,D,13:30,1,0.28176495
4,2019,9,16,월,ARP4,ARP3,L,L1808,A,20:10,0,0.066046536
5,2019,9,16,월,ARP3,ARP4,L,L1808,D,19:10,0,0.16580188
6,2019,9,16,월,ARP3,ARP9,J,J1934,A,16:00,0,0.15549746
7,2019,9,16,월,ARP9,ARP3,J,J1934,D,15:00,0,0.09628177
8,2019,9,16,월,ARP3,ARP1,L,L1703,A,8:10,0,0.03790632
9,2019,9,16,월,ARP1,ARP3,L,L1703,D,7:00,0,0.008628815
10,2019,9,16,월,ARP3,ARP4,L,L1809,A,20:35,0,0.1654109
11,2019,9,16,월,ARP4,ARP3,L,L1809,D,19:35,1,0.2827038
12,2019,9,16,월,ARP3,ARP1,L,L1731,A,19:20,0,0.14609867
13,2019,9,16,월,ARP1,ARP3,L,L1731,D,18:10,1,0.23741508
14,2019,9,16,월,ARP9,ARP3,J,J1935,A,14:25,0,0.14552689
15,2019,9,16,월,ARP3,ARP1,L,L1705,A,9:25,0,0.03565675
16,2019,9,16,월,ARP1,ARP3,L,L1705,D,8:15,0,0.03790632
17,2019,9,16,월,ARP1,ARP3,L,L1732,A,21:05,1,0.28176495
18,2019,9,16,월,ARP3,ARP1,L,L1732,D,19:55,1,0.20151407
19,2019,9,16,월,ARP4,ARP3,L,L1810,A,22:10,0,0.1219137
20,2019,9,16,월,ARP3,ARP4,L,L1810,D,21:10,1,0.4697092
21,2019,9,16,월,ARP3,ARP9,J,J1935,D,13:25,1,0.18059275
22,2019,9,16,월,ARP3,ARP6,J,J1954,A,9:25,0,0.08962211
23,2019,9,16,월,ARP6,ARP3,J,J1954,D,8:20,0,0.044350564
24,2019,9,16,월,ARP1,ARP3,L,L1706,A,9:55,0,0.03450653
25,2019,9,16,월,ARP3,ARP1,L,L1706,D,8:45,0,0.05846584
26,2019,9,16,월,ARP3,ARP1,L,L1733,A,19:35,0,0.14609867
27,2019,9,16,월,ARP1,ARP3,L,L1733,D,18:25,1,0.23741508
28,2019,9,16,월,ARP3,ARP8,L,L1901,A,10:25,1,0.27905664
29,2019,9,16,월,ARP8,ARP3,L,L1901,D,9:30,0,0.14645389
30,2019,9,16,월,ARP6,ARP3,J,J1955,A,11:10,0,0.14713109
31,2019,9,16,월,ARP3,ARP1,L,L1707,A,10:55,0,0.06388691
32,2019,9,16,월,ARP1,ARP3,L,L1707,D,9:45,0,0.03565675
33,2019,9,16,월,ARP1,ARP3,L,L1734,A,21:40,1,0.28176495
34,2019,9,16,월,ARP3,ARP1,L,L1734,D,20:30,1,0.28176495
35,2019,9,16,월,ARP8,ARP3,L,L1902,A,8:55,0,0.1407522
36,2019,9,16,월,ARP3,ARP8,L,L1902,D,8:05,0,0.1407522
37,2019,9,16,월,ARP3,ARP6,J,J1955,D,10:05,0,0.12844393
38,2019,9,16,월,ARP1,ARP3,L,L1708,A,11:10,0,0.16968957
39,2019,9,16,월,ARP3,ARP1,L,L1708,D,10:00,0,0.061638772
40,2019,9,16,월,ARP3,ARP1,L,L1735,A,20:00,1,0.28176495
41,2019,9,16,월,ARP1,ARP3,L,L1735,D,18:50,1,0.23741508
42,2019,9,16,월,ARP3,ARP8,L,L1903,A,12:55,1,0.41942856
43,2019,9,16,월,ARP8,ARP3,L,L1903,D,12:10,1,0.41942856
44,2019,9,16,월,ARP3,ARP6,J,J1956,A,15:20,1,0.19252259
45,2019,9,16,월,ARP6,ARP3,J,J1956,D,14:15,1,0.26904958
46,2019,9,16,월,ARP1,ARP3,L,L1736,A,22:15,0,0.02182877
47,2019,9,16,월,ARP3,ARP1,L,L1736,D,21:05,1,0.28176495
48,2019,9,16,월,ARP8,ARP3,L,L1904,A,11:40,0,0.13188222
49,2019,9,16,월,ARP3,ARP8,L,L1904,D,10:50,1,0.24156001
50,2019,9,16,월,ARP6,ARP3,J,J1957,A,13:35,1,0.1807926
51,2019,9,16,월,ARP3,ARP6,J,J1957,D,12:30,1,0.20889929
52,2019,9,16,월,ARP1,ARP3,L,L1710,A,12:15,0,0.101880014
53,2019,9,16,월,ARP3,ARP1,L,L1710,D,11:05,0,0.16968957
54,2019,9,16,월,ARP3,ARP4,L,L1801,A,7:20,0,0.029093325
55,2019,9,16,월,ARP4,ARP3,L,L1801,D,6:20,0,0.016632259
56,2019,9,16,월,ARP1,ARP3,L,L1712,A,12:45,0,0.101880014
57,2019,9,16,월,ARP3,ARP1,L,L1712,D,11:35,0,0.16968957
58,2019,9,16,월,ARP1,ARP3,L,L1722,A,16:15,0,0.14573619
59,2019,9,16,월,ARP3,ARP1,L,L1722,D,15:05,1,0.28176495
60,2019,9,16,월,ARP4,ARP3,L,L1802,A,9:25,0,0.05214399
61,2019,9,16,월,ARP3,ARP4,L,L1802,D,8:25,0,0.13854972
62,2019,9,16,월,ARP3,ARP8,L,L1905,A,17:15,1,0.2532189
63,2019,9,16,월,ARP8,ARP3,L,L1905,D,16:30,0,0.13227236
64,2019,9,16,월,ARP6,ARP3,J,J1959,A,16:40,1,0.4527505
65,2019,9,16,월,ARP3,ARP6,J,J1959,D,15:30,1,0.18516019
66,2019,9,16,월,ARP3,ARP1,L,L1713,A,12:55,0,0.09565863
67,2019,9,16,월,ARP1,ARP3,L,L1713,D,11:45,0,0.17404863
68,2019,9,16,월,ARP3,ARP1,L,L1723,A,15:45,1,0.284041
69,2019,9,16,월,ARP3,ARP4,L,L1803,A,9:55,0,0.12537599
70,2019,9,16,월,ARP4,ARP3,L,L1803,D,8:55,0,0.045131505
71,2019,9,16,월,ARP8,ARP3,L,L1906,A,15:55,0,0.11598933
72,2019,9,16,월,ARP3,ARP8,L,L1906,D,15:05,0,0.11598933
73,2019,9,16,월,ARP3,ARP6,J,J1960,A,18:25,1,0.42267662
74,2019,9,16,월,ARP1,ARP3,L,L1723,D,14:35,1,0.20102936
75,2019,9,16,월,ARP4,ARP3,L,L1804,A,15:50,0,0.14203951
76,2019,9,16,월,ARP3,ARP4,L,L1804,D,14:45,1,0.28856748
77,2019,9,16,월,ARP3,ARP7,L,L1931,A,7:30,0,0.018933862
78,2019,9,16,월,ARP7,ARP3,L,L1931,D,6:40,0,0.024382979
79,2019,9,16,월,ARP6,ARP3,J,J1960,D,17:20,1,0.40059313
80,2019,9,16,월,ARP3,ARP1,L,L1715,A,14:00,1,0.20102936
81,2019,9,16,월,ARP1,ARP3,L,L1715,D,12:50,0,0.09565863
82,2019,9,16,월,ARP3,ARP1,L,L1725,A,16:25,0,0.1661813
83,2019,9,16,월,ARP1,ARP3,L,L1725,D,15:15,1,0.284041
84,2019,9,16,월,ARP7,ARP3,L,L1932,A,19:00,0,0.09709099
85,2019,9,16,월,ARP3,ARP7,L,L1932,D,18:10,0,0.13500258
86,2019,9,16,월,ARP3,ARP10,M,M1361,A,11:25,0,0.14703172
87,2019,9,16,월,ARP10,ARP3,M,M1361,D,9:50,0,0.07042661
88,2019,9,16,월,ARP1,ARP3,L,L1726,A,17:30,1,0.2781964
89,2019,9,16,월,ARP3,ARP1,L,L1726,D,16:20,0,0.14573619
90,2019,9,16,월,ARP3,ARP4,L,L1805,A,11:05,0,0.089692205
91,2019,9,16,월,ARP4,ARP3,L,L1805,D,10:05,0,0.11822733
92,2019,9,16,월,ARP3,ARP10,M,M1363,A,18:10,1,0.4985084
93,2019,9,16,월,ARP10,ARP3,M,M1363,D,16:50,1,0.45624468
94,2019,9,16,월,ARP3,ARP1,L,L1717,A,14:30,1,0.20102936
95,2019,9,16,월,ARP1,ARP3,L,L1717,D,13:20,1,0.28176495
96,2019,9,16,월,ARP3,ARP1,L,L1727,A,18:35,1,0.23741508
97,2019,9,16,월,ARP1,ARP3,L,L1727,D,17:25,1,0.28176495
98,2019,9,16,월,ARP4,ARP3,L,L1806,A,19:05,0,0.16580188
99,2019,9,16,월,ARP3,ARP4,L,L1806,D,18:05,1,0.18059275
100,2019,9,16,월,ARP3,ARP1,L,L1701,A,7:50,0,0.008628815
101,2019,9,16,월,ARP1,ARP3,L,L1701,D,6:40,0,0.015190095
102,2019,9,16,월,ARP1,ARP3,L,L1718,A,13:55,1,0.28176495
103,2019,9,16,월,ARP3,ARP1,L,L1718,D,12:45,0,0.101880014
104,2019,9,16,월,ARP1,ARP3,L,L1728,A,18:15,1,0.28176495
105,2019,9,16,월,ARP3,ARP1,L,L1728,D,17:05,1,0.2781964
106,2019,9,16,월,ARP3,ARP4,L,L1807,A,17:30,1,0.28703916
107,2019,9,16,월,ARP4,ARP3,L,L1807,D,16:25,1,0.19085333
108,2019,9,16,월,ARP1,ARP4,B,B1850,A,21:00,0,0.036167026
109,2019,9,16,월,ARP4,ARP1,B,B1850,D,20:05,0,0.08791232
110,2019,9,16,월,ARP1,ARP5,J,J1607,A,13:10,0,0.09324512
111,2019,9,16,월,ARP5,ARP1,J,J1607,D,12:10,0,0.09712115
112,2019,9,16,월,ARP5,ARP1,J,J1608,A,14:50,0,0.06082827
113,2019,9,16,월,ARP1,ARP5,J,J1608,D,13:50,0,0.09202322
114,2019,9,16,월,ARP8,ARP1,A,A1703,A,10:30,0,0.12221515
115,2019,9,16,월,ARP1,ARP8,A,A1703,D,9:35,0,0.044451535
116,2019,9,16,월,ARP9,ARP1,J,J1334,A,9:40,0,0.05631584
