DATE,SDT_DY,holi_bfr,holi_day,holi_aft
2017-01-01,일,0,1,0
2017-01-02,월,0,0,1
2017-01-03,화,0,0,0
2017-01-04,수,0,0,0
2017-01-05,목,0,0,0
2017-01-06,금,0,0,0
2017-01-07,토,0,0,0
2017-01-08,일,0,0,0
2017-01-09,월,0,0,0
2017-01-10,화,0,0,0
2017-01-11,수,0,0,0
2017-01-12,목,0,0,0
2017-01-13,금,0,0,0
2017-01-14,토,0,0,0
2017-01-15,일,0,0,0
2017-01-16,월,0,0,0
2017-01-17,화,0,0,0
2017-01-18,수,0,0,0
2017-01-19,목,0,0,0
2017-01-20,금,0,0,0
2017-01-21,토,0,0,0
2017-01-22,일,0,0,0
2017-01-23,월,0,0,0
2017-01-24,화,0,0,0
2017-01-25,수,0,0,0
2017-01-26,목,1,0,0
2017-01-27,금,0,1,0
2017-01-28,토,0,1,0
2017-01-29,일,0,1,0
2017-01-30,월,0,1,0
2017-01-31,화,0,0,1
2017-02-01,수,0,0,0
2017-02-02,목,0,0,0
2017-02-03,금,0,0,0
2017-02-04,토,0,0,0
2017-02-05,일,0,0,0
2017-02-06,월,0,0,0
2017-02-07,화,0,0,0
2017-02-08,수,0,0,0
2017-02-09,목,0,0,0
2017-02-10,금,0,0,0
2017-02-11,토,0,0,0
2017-02-12,일,0,0,0
2017-02-13,월,0,0,0
2017-02-14,화,0,0,0
2017-02-15,수,0,0,0
2017-02-16,목,0,0,0
2017-02-17,금,0,0,0
2017-02-18,토,0,0,0
2017-02-19,일,0,0,0
2017-02-20,월,0,0,0
2017-02-21,화,0,0,0
2017-02-22,수,0,0,0
2017-02-23,목,0,0,0
2017-02-24,금,0,0,0
2017-02-25,토,0,0,0
2017-02-26,일,0,0,0
2017-02-27,월,0,0,0
2017-02-28,화,1,0,0
2017-03-01,수,0,1,0
2017-03-02,목,0,0,1
2017-03-03,금,0,0,0
2017-03-04,토,0,0,0
2017-03-05,일,0,0,0
2017-03-06,월,0,0,0
2017-03-07,화,0,0,0
2017-03-08,수,0,0,0
2017-03-09,목,0,0,0
2017-03-10,금,0,0,0
2017-03-11,토,0,0,0
2017-03-12,일,0,0,0
2017-03-13,월,0,0,0
2017-03-14,화,0,0,0
2017-03-15,수,0,0,0
2017-03-16,목,0,0,0
2017-03-17,금,0,0,0
